"","CLIENT.CODE","DISTRICT","CLIENT.TYPE","YEAR","MONTH","MARGIN"
"1",7282,"MOMBASA","SUPERMAKETS",19,4,156.2
"2",7282,"MOMBASA","SUPERMAKETS",19,4,49.5
"3",4011,"VOI","MINI SHOPS",19,4,443
"4",5893,"MANYANGA","SHOPS",19,4,311.2
"5",5893,"MANYANGA","SHOPS",19,4,76.5
"6",6036,"VOI","MINI SUPERMAKETS",19,4,195.2505
"7",6036,"VOI","MINI SUPERMAKETS",19,4,81.25
"8",6036,"VOI","MINI SUPERMAKETS",19,4,195.25
"9",7282,"MOMBASA","SUPERMAKETS",19,4,117.1503
"10",7282,"MOMBASA","SUPERMAKETS",19,4,46.745
"11",8779,"MANYANGA","WHOLE SALE",19,4,70.5
"12",8779,"MANYANGA","WHOLE SALE",19,4,24.75
"13",8779,"MANYANGA","WHOLE SALE",19,4,135
"14",7282,"MOMBASA","SUPERMAKETS",19,4,553.969
"15",5110,"KASARANI","SUPERMAKETS",19,4,3314.9406
"16",8163,"KILIMANJARO","MINI SUPERMAKETS",19,4,321.3585
"17",6040,"NAIROBI","MINI SUPERMAKETS",19,4,1104.9802
"18",5110,"KASARANI","SUPERMAKETS",19,4,6647.628
"19",5110,"KASARANI","SUPERMAKETS",19,4,1663.4718
"20",5110,"KASARANI","SUPERMAKETS",19,4,319.6629
"21",5110,"KASARANI","SUPERMAKETS",19,4,3835.9548
"22",4957,"MAUA","SUPERMAKETS",19,4,1107.938
"23",6036,"VOI","MINI SUPERMAKETS",19,4,0
"24",1192,"MTITO ANDEI","SUPERMAKETS",19,4,5539.69
"25",1192,"MTITO ANDEI","SUPERMAKETS",19,4,2082.808
"26",4011,"VOI","MINI SHOPS",19,4,3213.585
"27",5110,"KASARANI","SUPERMAKETS",19,4,1968.7284
"28",5110,"KASARANI","SUPERMAKETS",19,4,1928.151
"29",5110,"KASARANI","SUPERMAKETS",19,4,2358.8058
"30",5110,"KASARANI","SUPERMAKETS",19,4,1281.8052
"31",1192,"MTITO ANDEI","SUPERMAKETS",19,4,3213.585
"32",2904,"MANYANGA-MAUA","SUPERMAKETS",19,4,964.0755
"33",2904,"MANYANGA-MAUA","SUPERMAKETS",19,4,558.0807
"34",1192,"MTITO ANDEI","SUPERMAKETS",19,4,3281.214
"35",5110,"KASARANI","SUPERMAKETS",19,4,2828
"36",7282,"MOMBASA","SUPERMAKETS",19,4,25.4514
"37",7282,"MOMBASA","SUPERMAKETS",19,4,-28.3864
"38",4120,"MACHAKOS","SUPERMAKETS",19,4,165.74
"39",7282,"MOMBASA","SUPERMAKETS",19,4,572.885
"40",1192,"MTITO ANDEI","SUPERMAKETS",19,4,280
"41",1192,"MTITO ANDEI","SUPERMAKETS",19,4,2828
"42",3045,"KILIMANJARO","MINI SHOPS",19,4,3208
"43",5882,"KILIMANJARO","MINI SUPERMAKETS",19,4,136.5568
"44",5882,"KILIMANJARO","MINI SUPERMAKETS",19,4,1504
"45",1521,"VOI","MINI SHOPS",19,4,1109.3352
"46",1192,"MTITO ANDEI","SUPERMAKETS",19,4,1740
"47",2904,"MANYANGA-MAUA","SUPERMAKETS",19,4,50.9028
"48",2904,"MANYANGA-MAUA","SUPERMAKETS",19,4,1019.25
"49",2904,"MANYANGA-MAUA","SUPERMAKETS",19,4,21.4263
"50",2904,"MANYANGA-MAUA","SUPERMAKETS",19,4,1520.25
"51",2904,"MANYANGA-MAUA","SUPERMAKETS",19,4,363.75
"52",5142,"MTITO ANDEI","MINI SHOPS",19,4,546.2272
"53",5142,"MTITO ANDEI","MINI SHOPS",19,4,2602.62
"54",1192,"MTITO ANDEI","SUPERMAKETS",19,4,856.5
"55",1192,"MTITO ANDEI","SUPERMAKETS",19,4,715.3752
"56",1192,"MTITO ANDEI","SUPERMAKETS",19,4,2990
"57",5145,"MANYANGA","MINI SUPERMAKETS",19,4,2940
"58",5145,"MANYANGA","MINI SUPERMAKETS",19,4,1604
"59",6036,"VOI","MINI SUPERMAKETS",19,4,1669.792
"60",7282,"MOMBASA","SUPERMAKETS",19,4,647.5
"61",1521,"VOI","MINI SHOPS",19,4,1669.792
"62",1521,"VOI","MINI SHOPS",19,4,1735.08
"63",4957,"MAUA","SUPERMAKETS",19,4,82.87
"64",4957,"MAUA","SUPERMAKETS",19,4,80.8049
"65",1192,"MTITO ANDEI","SUPERMAKETS",19,4,-5767.536
"66",1192,"MTITO ANDEI","SUPERMAKETS",19,4,-13195.456
"67",1192,"MTITO ANDEI","SUPERMAKETS",19,4,1024
"68",5110,"KASARANI","SUPERMAKETS",19,4,-483.731
"69",6036,"VOI","MINI SUPERMAKETS",19,4,501.5
"70",7142,"KASARANI","SHOPS",19,4,3404
"71",5142,"MTITO ANDEI","MINI SHOPS",19,4,10018.752
"72",5110,"KASARANI","SUPERMAKETS",19,4,3801
"73",5145,"MANYANGA","MINI SUPERMAKETS",19,4,273.1136
"74",6040,"NAIROBI","MINI SUPERMAKETS",19,4,1176
"75",5110,"KASARANI","SUPERMAKETS",19,4,1187.3
"76",4937,"MANYANGA-MAUA","MINI SUPERMAKETS",19,4,667.9168
"77",5110,"KASARANI","SUPERMAKETS",19,4,-2804.0344
"78",5110,"KASARANI","SUPERMAKETS",19,4,-2127.5
"79",5142,"MTITO ANDEI","MINI SHOPS",19,4,1247.3496
"80",5142,"MTITO ANDEI","MINI SHOPS",19,4,16040
"81",5882,"KILIMANJARO","MINI SUPERMAKETS",19,4,770.2232
"82",7282,"MOMBASA","SUPERMAKETS",19,4,1323.75
"83",6977,"VOI","MINI SHOPS",19,4,115.426
"84",6040,"NAIROBI","MINI SUPERMAKETS",19,4,48.1716
"85",7282,"MOMBASA","SUPERMAKETS",19,4,119.93
"86",7282,"MOMBASA","SUPERMAKETS",19,4,132.0968
"87",4954,"MANYANGA-MAUA","SUPERMAKETS",19,4,80.286
"88",5145,"MANYANGA","MINI SUPERMAKETS",19,4,106.5854
"89",7282,"MOMBASA","SUPERMAKETS",19,4,213.1345
"90",8779,"MANYANGA","WHOLE SALE",19,4,80.286
"91",2904,"MANYANGA-MAUA","SUPERMAKETS",19,4,112.2045
"92",2904,"MANYANGA-MAUA","SUPERMAKETS",19,4,541.075
"93",4011,"VOI","MINI SHOPS",19,4,1553.77
"94",7142,"KASARANI","SHOPS",19,4,877.407
"95",7282,"MOMBASA","SUPERMAKETS",19,4,101.6764
"96",4759,"MANYANGA","SUPERMAKETS",19,4,-703.44
"97",7282,"MOMBASA","SUPERMAKETS",19,4,40.146
"98",2904,"MANYANGA-MAUA","SUPERMAKETS",19,4,323.2331
"99",4011,"VOI","MINI SHOPS",19,4,323.2331
"100",6040,"NAIROBI","MINI SUPERMAKETS",19,4,174.346
"101",6040,"NAIROBI","MINI SUPERMAKETS",19,4,383.514
"102",2904,"MANYANGA-MAUA","SUPERMAKETS",19,4,565.2631
"103",4011,"VOI","MINI SHOPS",19,4,5763.82
"104",5110,"KASARANI","SUPERMAKETS",19,4,0
"105",8779,"MANYANGA","WHOLE SALE",19,4,91.9678
"106",8779,"MANYANGA","WHOLE SALE",19,4,-5500
"107",7142,"KASARANI","SHOPS",19,4,871.73
"108",2904,"MANYANGA-MAUA","SUPERMAKETS",19,4,456.291
"109",2904,"MANYANGA-MAUA","SUPERMAKETS",19,4,843.6654
"110",7931,"MTITO ANDEI","SHOPS",19,4,323.2331
"111",5142,"MTITO ANDEI","MINI SHOPS",19,4,1445.9781
"112",7931,"MTITO ANDEI","SHOPS",19,4,-231.942
"113",5142,"MTITO ANDEI","MINI SHOPS",19,4,206.5683
"114",1521,"VOI","MINI SHOPS",19,4,2824.376
"115",4957,"MAUA","SUPERMAKETS",19,4,-715.06
"116",2904,"MANYANGA-MAUA","SUPERMAKETS",19,4,-750.78
"117",2904,"MANYANGA-MAUA","SUPERMAKETS",19,4,1689.985
"118",2904,"MANYANGA-MAUA","SUPERMAKETS",19,4,481.186
"119",5145,"MANYANGA","MINI SUPERMAKETS",19,4,2824.376
"120",5145,"MANYANGA","MINI SUPERMAKETS",19,4,1170.098
"121",5145,"MANYANGA","MINI SUPERMAKETS",19,4,-115.842
"122",5145,"MANYANGA","MINI SUPERMAKETS",19,4,1528.8205
"123",4011,"VOI","MINI SHOPS",19,4,0
"124",4011,"VOI","MINI SHOPS",19,4,526.4858
"125",4759,"MANYANGA","SUPERMAKETS",19,4,179.3236
"126",1192,"MTITO ANDEI","SUPERMAKETS",19,4,1778.888
"127",4650,"ISIOLO","SHOPS",19,4,1104.106
"128",4759,"MANYANGA","SUPERMAKETS",19,4,121.8861
"129",5110,"KASARANI","SUPERMAKETS",19,4,441.6424
"130",5142,"MTITO ANDEI","MINI SHOPS",19,4,3183.966
"131",5142,"MTITO ANDEI","MINI SHOPS",19,4,1764.15
"132",5145,"MANYANGA","MINI SUPERMAKETS",19,4,547.742
"133",5145,"MANYANGA","MINI SUPERMAKETS",19,4,-480.757
"134",5145,"MANYANGA","MINI SUPERMAKETS",19,4,54.0921
"135",5648,"MTITO ANDEI","SHOPS",19,4,4416.424
"136",7282,"MOMBASA","SUPERMAKETS",19,4,547.742
"137",7282,"MOMBASA","SUPERMAKETS",19,4,1899.8511
"138",7282,"MOMBASA","SUPERMAKETS",19,4,55.3344
"139",5142,"MTITO ANDEI","MINI SHOPS",19,4,7256.188
"140",7282,"MOMBASA","SUPERMAKETS",19,4,314.068
"141",1192,"MTITO ANDEI","SUPERMAKETS",19,4,2105.535
"142",2904,"MANYANGA-MAUA","SUPERMAKETS",19,4,1527.058
"143",5040,"MANYANGA-MAUA","SUPERMAKETS",19,4,1176.1
"144",5040,"MANYANGA-MAUA","SUPERMAKETS",19,4,344.464
"145",5110,"KASARANI","SUPERMAKETS",19,4,1279.6707
"146",5142,"MTITO ANDEI","MINI SHOPS",19,4,1263.321
"147",5180,"MANYANGA-MAUA","SHOPS",19,4,1343.572
"148",5180,"MANYANGA-MAUA","SHOPS",19,4,3166.4185
"149",5648,"MTITO ANDEI","SHOPS",19,4,537.4288
"150",5882,"KILIMANJARO","MINI SUPERMAKETS",19,4,610.8232
"151",5882,"KILIMANJARO","MINI SUPERMAKETS",19,4,1764.15
"152",7142,"KASARANI","SHOPS",19,4,1093.984
"153",3046,"THIKA","SHOPS",19,4,3887.831
"154",3046,"THIKA","SHOPS",19,4,2208.212
